Ano;Mês;Código.IBGE.Município;Município;Densidade
2020;6;4102406;Bandeirantes;83,02993592
2021;8;4102406;Bandeirantes;89,63330221
2021;10;4102406;Bandeirantes;85,24194327
2023;1;4102406;Bandeirantes;89,93061107
2022;3;4102406;Bandeirantes;86,80982583
2020;1;4102406;Bandeirantes;88,80351962
2023;8;4102406;Bandeirantes;91,59338727
2024;8;4102406;Bandeirantes;91,71566007
2023;5;4102406;Bandeirantes;90,64048860
2020;7;4102406;Bandeirantes;82,40363974
2020;3;4102406;Bandeirantes;86,34233430
2022;5;4102406;Bandeirantes;88,75116706
2019;2;4102406;Bandeirantes;93,06286874
2020;8;4102406;Bandeirantes;82,01595591
2022;1;4102406;Bandeirantes;89,26628248
2024;3;4102406;Bandeirantes;91,08815911
2021;11;4102406;Bandeirantes;84,60448794
2021;7;4102406;Bandeirantes;89,80393419
2022;4;4102406;Bandeirantes;87,19616239
2019;9;4102406;Bandeirantes;91,43048427
2021;12;4102406;Bandeirantes;90,28685490
2023;11;4102406;Bandeirantes;93,90528571
2024;4;4102406;Bandeirantes;91,88757075
2021;6;4102406;Bandeirantes;92,64682324
2021;9;4102406;Bandeirantes;91,22372107
2019;5;4102406;Bandeirantes;92,39675189
2019;10;4102406;Bandeirantes;90,41667995
2024;1;4102406;Bandeirantes;92,49832124
2019;6;4102406;Bandeirantes;92,28573241
2022;7;4102406;Bandeirantes;90,55734979
2019;4;4102406;Bandeirantes;92,24766859
2022;10;4102406;Bandeirantes;91,40472612
2020;11;4102406;Bandeirantes;82,43888373
2023;12;4102406;Bandeirantes;93,78057749
2020;9;4102406;Bandeirantes;81,16369229
2020;12;4102406;Bandeirantes;82,68879562
2024;6;4102406;Bandeirantes;92,98116586
2019;3;4102406;Bandeirantes;92,64099473
2022;11;4102406;Bandeirantes;92,05704601
2023;4;4102406;Bandeirantes;90,19921338
2020;10;4102406;Bandeirantes;81,70516805
2022;9;4102406;Bandeirantes;90,80996387
2023;9;4102406;Bandeirantes;91,92914015
2023;7;4102406;Bandeirantes;91,20327439
2024;10;4102406;Bandeirantes;91,20005030
2024;5;4102406;Bandeirantes;92,71895885
2019;1;4102406;Bandeirantes;93,44985092
2021;4;4102406;Bandeirantes;88,02665727
2023;10;4102406;Bandeirantes;92,87884117
2020;2;4102406;Bandeirantes;87,88216916
2020;5;4102406;Bandeirantes;83,60378742
2021;1;4102406;Bandeirantes;83,41930730
2021;5;4102406;Bandeirantes;89,57418859
2021;3;4102406;Bandeirantes;88,20928519
2024;11;4102406;Bandeirantes;90,95796523
2024;2;4102406;Bandeirantes;91,62536373
2022;6;4102406;Bandeirantes;89,54315701
2023;2;4102406;Bandeirantes;89,42538292
2020;4;4102406;Bandeirantes;84,45181241
2019;11;4102406;Bandeirantes;90,20307967
2021;2;4102406;Bandeirantes;88,40472910
2022;8;4102406;Bandeirantes;90,71723212
2022;2;4102406;Bandeirantes;86,69714433
2023;3;4102406;Bandeirantes;89,96578518
2024;9;4102406;Bandeirantes;91,75967554
2024;7;4102406;Bandeirantes;91,86028233
2019;12;4102406;Bandeirantes;89,63879236
2023;6;4102406;Bandeirantes;90,55415214
2019;7;4102406;Bandeirantes;92,73121433
2019;8;4102406;Bandeirantes;92,11272994
2022;12;4102406;Bandeirantes;91,65414255
2021;12;4106407;Cornélio Procópio;97,74247492
2022;11;4106407;Cornélio Procópio;108,00557450
2020;9;4106407;Cornélio Procópio;82,49028051
2021;2;4106407;Cornélio Procópio;94,49855775
2024;3;4106407;Cornélio Procópio;107,93257530
2022;10;4106407;Cornélio Procópio;106,64071140
2022;6;4106407;Cornélio Procópio;101,12249160
2023;11;4106407;Cornélio Procópio;110,27739680
2021;8;4106407;Cornélio Procópio;94,60284281
2019;2;4106407;Cornélio Procópio;95,03835141
2021;6;4106407;Cornélio Procópio;94,46302412
2019;10;4106407;Cornélio Procópio;91,89674992
2020;10;4106407;Cornélio Procópio;83,13197609
2022;12;4106407;Cornélio Procópio;106,71813480
2020;4;4106407;Cornélio Procópio;86,19291462
2019;11;4106407;Cornélio Procópio;91,91556066
2024;5;4106407;Cornélio Procópio;111,63119940
2023;5;4106407;Cornélio Procópio;109,96770340
2022;2;4106407;Cornélio Procópio;97,70693980
2021;3;4106407;Cornélio Procópio;94,97512646
2019;1;4106407;Cornélio Procópio;95,73640981
2024;9;4106407;Cornélio Procópio;108,02312900
2023;1;4106407;Cornélio Procópio;105,99256740
2024;4;4106407;Cornélio Procópio;110,90120780
2019;12;4106407;Cornélio Procópio;90,70958303
2021;5;4106407;Cornélio Procópio;95,34300406
2023;4;4106407;Cornélio Procópio;108,94129100
2021;9;4106407;Cornélio Procópio;95,07943144
2019;8;4106407;Cornélio Procópio;94,18539032
2022;7;4106407;Cornélio Procópio;107,62066980
2022;9;4106407;Cornélio Procópio;107,10082730
2023;10;4106407;Cornélio Procópio;110,19333720
2021;7;4106407;Cornélio Procópio;94,40426421
2024;6;4106407;Cornélio Procópio;111,60907840
2020;2;4106407;Cornélio Procópio;89,43463267
2019;9;4106407;Cornélio Procópio;93,47058209
2023;8;4106407;Cornélio Procópio;108,97004820
2021;10;4106407;Cornélio Procópio;91,27926421
2024;1;4106407;Cornélio Procópio;108,16926960
2023;9;4106407;Cornélio Procópio;109,29301420
2019;3;4106407;Cornélio Procópio;94,83353188
2021;4;4106407;Cornélio Procópio;95,29283893
2021;1;4106407;Cornélio Procópio;91,35487647
2021;11;4106407;Cornélio Procópio;91,50501672
2023;2;4106407;Cornélio Procópio;104,51931160
2023;7;4106407;Cornélio Procópio;109,63367690
2020;6;4106407;Cornélio Procópio;84,21360644
2019;7;4106407;Cornélio Procópio;94,39021841
2020;12;4106407;Cornélio Procópio;84,46762259
2022;5;4106407;Cornélio Procópio;101,08904680
2020;5;4106407;Cornélio Procópio;84,90542376
2023;3;4106407;Cornélio Procópio;105,92620450
2023;6;4106407;Cornélio Procópio;110,03849050
2020;8;4106407;Cornélio Procópio;83,10062288
2024;7;4106407;Cornélio Procópio;108,85228020
2024;2;4106407;Cornélio Procópio;107,29327970
2019;4;4106407;Cornélio Procópio;94,49077267
2024;10;4106407;Cornélio Procópio;109,04647610
2020;11;4106407;Cornélio Procópio;83,85519000
2019;5;4106407;Cornélio Procópio;94,91295170
2024;8;4106407;Cornélio Procópio;108,70172380
2022;8;4106407;Cornélio Procópio;106,82431540
2024;11;4106407;Cornélio Procópio;108,91773950
2019;6;4106407;Cornélio Procópio;94,53466257
2020;7;4106407;Cornélio Procópio;83,75904017
2020;1;4106407;Cornélio Procópio;90,18497231
2022;4;4106407;Cornélio Procópio;98,88795987
2023;12;4106407;Cornélio Procópio;110,17342830
2022;1;4106407;Cornélio Procópio;97,08821070
2020;3;4106407;Cornélio Procópio;88,09070958
2022;3;4106407;Cornélio Procópio;97,47909699
2022;10;4106902;Curitiba;130,39036880
2020;8;4106902;Curitiba;126,44935460
2023;6;4106902;Curitiba;129,59909980
2019;2;4106902;Curitiba;128,54737540
2021;9;4106902;Curitiba;112,51900720
2019;8;4106902;Curitiba;126,25361790
2020;9;4106902;Curitiba;125,89075580
2019;1;4106902;Curitiba;129,14799560
2024;11;4106902;Curitiba;131,54488920
2022;12;4106902;Curitiba;128,80213650
2020;10;4106902;Curitiba;126,78754160
2021;3;4106902;Curitiba;112,87194160
2019;3;4106902;Curitiba;128,35208910
2019;10;4106902;Curitiba;127,72761960
2023;7;4106902;Curitiba;129,69370250
2023;4;4106902;Curitiba;130,19930280
2019;4;4106902;Curitiba;128,14605790
2022;4;4106902;Curitiba;120,57176000
2019;9;4106902;Curitiba;126,26918870
2024;5;4106902;Curitiba;133,25759850
2021;10;4106902;Curitiba;116,27304420
2022;3;4106902;Curitiba;120,05493640
2020;5;4106902;Curitiba;126,86486250
2022;11;4106902;Curitiba;130,05108440
2020;3;4106902;Curitiba;126,68266860
2021;5;4106902;Curitiba;115,05224710
2023;12;4106902;Curitiba;130,18103630
2021;4;4106902;Curitiba;114,34646770
2023;5;4106902;Curitiba;129,86373940
2019;11;4106902;Curitiba;127,78069480
2020;2;4106902;Curitiba;126,60362470
2022;5;4106902;Curitiba;121,49795850
2019;7;4106902;Curitiba;126,28874270
2020;12;4106902;Curitiba;131,32165950
2023;1;4106902;Curitiba;128,30657150
2024;9;4106902;Curitiba;131,39067090
2022;1;4106902;Curitiba;117,02136650
2019;5;4106902;Curitiba;127,95118890
2024;7;4106902;Curitiba;130,53145460
2021;11;4106902;Curitiba;118,28014700
2020;4;4106902;Curitiba;126,23370170
2023;2;4106902;Curitiba;128,12328570
2020;6;4106902;Curitiba;127,05859230
2024;3;4106902;Curitiba;129,86802410
2021;7;4106902;Curitiba;112,44012660
2023;8;4106902;Curitiba;129,31100680
2023;11;4106902;Curitiba;130,13880890
2024;1;4106902;Curitiba;129,12371820
2022;8;4106902;Curitiba;134,28717850
2019;12;4106902;Curitiba;127,63936780
2022;6;4106902;Curitiba;121,65307180
2023;9;4106902;Curitiba;129,16290110
2021;1;4106902;Curitiba;113,14890590
2020;11;4106902;Curitiba;129,78873320
2019;6;4106902;Curitiba;127,54908890
2024;10;4106902;Curitiba;131,83692550
2022;2;4106902;Curitiba;119,04924620
2021;12;4106902;Curitiba;116,17613660
2024;8;4106902;Curitiba;131,09480790
2024;6;4106902;Curitiba;133,86028220
2023;3;4106902;Curitiba;128,64929500
2020;7;4106902;Curitiba;126,22257940
2024;4;4106902;Curitiba;131,92188450
2021;8;4106902;Curitiba;113,23820130
2021;6;4106902;Curitiba;114,68270460
2024;2;4106902;Curitiba;128,82739400
2020;1;4106902;Curitiba;126,76202280
2022;9;4106902;Curitiba;132,04462000
2022;7;4106902;Curitiba;134,37676360
2021;2;4106902;Curitiba;111,45679060
2023;10;4106902;Curitiba;130,00682740
2024;5;4111803;Jacarezinho;94,91764706
2020;5;4111803;Jacarezinho;78,53877800
2023;8;4111803;Jacarezinho;92,37151703
2019;2;4111803;Jacarezinho;87,71395968
2022;3;4111803;Jacarezinho;90,59284914
2019;4;4111803;Jacarezinho;87,15100799
2021;7;4111803;Jacarezinho;90,10135479
2024;1;4111803;Jacarezinho;92,91145511
2022;6;4111803;Jacarezinho;94,46368544
2020;7;4111803;Jacarezinho;76,96963532
2019;10;4111803;Jacarezinho;86,11915283
2022;8;4111803;Jacarezinho;94,82848297
2022;9;4111803;Jacarezinho;93,22352941
2024;3;4111803;Jacarezinho;93,18885449
2019;11;4111803;Jacarezinho;86,50515516
2021;9;4111803;Jacarezinho;90,65906081
2024;8;4111803;Jacarezinho;94,55072464
2020;2;4111803;Jacarezinho;83,57712428
2022;5;4111803;Jacarezinho;93,25659570
2023;1;4111803;Jacarezinho;93,45882353
2023;11;4111803;Jacarezinho;92,83962848
2021;8;4111803;Jacarezinho;90,32036264
2021;11;4111803;Jacarezinho;86,15157380
2023;4;4111803;Jacarezinho;94,20185759
2020;10;4111803;Jacarezinho;75,86592747
2023;2;4111803;Jacarezinho;92,92383901
2022;7;4111803;Jacarezinho;94,52879257
2023;7;4111803;Jacarezinho;92,17089783
2024;10;4111803;Jacarezinho;94,25845411
2022;10;4111803;Jacarezinho;93,63219814
2019;1;4111803;Jacarezinho;88,21605173
2021;5;4111803;Jacarezinho;139,77162910
2021;10;4111803;Jacarezinho;86,84679637
2023;3;4111803;Jacarezinho;93,17647059
2021;3;4111803;Jacarezinho;134,80494380
2019;12;4111803;Jacarezinho;85,64426837
2020;8;4111803;Jacarezinho;76,54239357
2021;1;4111803;Jacarezinho;108,05401560
2024;2;4111803;Jacarezinho;93,09969040
2020;4;4111803;Jacarezinho;79,47077048
2023;12;4111803;Jacarezinho;93,33250774
2021;4;4111803;Jacarezinho;137,73460150
2022;2;4111803;Jacarezinho;90,20067230
2020;9;4111803;Jacarezinho;76,08209145
2020;12;4111803;Jacarezinho;76,50933320
2024;11;4111803;Jacarezinho;94,43719807
2024;4;4111803;Jacarezinho;93,93684211
2024;6;4111803;Jacarezinho;95,78452012
2019;7;4111803;Jacarezinho;86,98257911
2023;9;4111803;Jacarezinho;92,63405573
2021;6;4111803;Jacarezinho;142,66059710
2019;5;4111803;Jacarezinho;87,58463294
2020;1;4111803;Jacarezinho;84,66402560
2020;6;4111803;Jacarezinho;77,95215603
2022;12;4111803;Jacarezinho;91,70526316
2019;8;4111803;Jacarezinho;86,34770684
2023;5;4111803;Jacarezinho;90,69226006
2021;12;4111803;Jacarezinho;90,45533259
2019;9;4111803;Jacarezinho;85,97186246
2019;3;4111803;Jacarezinho;87,38937492
2022;11;4111803;Jacarezinho;93,10216718
2021;2;4111803;Jacarezinho;125,34459080
2024;9;4111803;Jacarezinho;94,89613527
2020;11;4111803;Jacarezinho;76,20924673
2024;7;4111803;Jacarezinho;94,63043478
2022;1;4111803;Jacarezinho;89,96383824
2019;6;4111803;Jacarezinho;87,30315709
2020;3;4111803;Jacarezinho;82,20833968
2022;4;4111803;Jacarezinho;91,28043190
2023;10;4111803;Jacarezinho;92,62662539
2023;6;4111803;Jacarezinho;90,98947368
2024;6;4124103;Santo Antônio da Platina;102,49273140
2020;7;4124103;Santo Antônio da Platina;72,63626732
2019;4;4124103;Santo Antônio da Platina;83,41934920
2019;7;4124103;Santo Antônio da Platina;83,52575392
2019;9;4124103;Santo Antônio da Platina;82,90392016
2021;11;4124103;Santo Antônio da Platina;87,98142055
2022;10;4124103;Santo Antônio da Platina;99,78363272
2019;1;4124103;Santo Antônio da Platina;84,15850245
2021;3;4124103;Santo Antônio da Platina;79,69557415
2022;5;4124103;Santo Antônio da Platina;89,96623874
2024;2;4124103;Santo Antônio da Platina;97,28639365
2020;3;4124103;Santo Antônio da Platina;77,03346161
2022;12;4124103;Santo Antônio da Platina;96,42543217
2021;9;4124103;Santo Antônio da Platina;89,18564394
2021;2;4124103;Santo Antônio da Platina;80,54960974
2019;3;4124103;Santo Antônio da Platina;83,43028341
2023;3;4124103;Santo Antônio da Platina;95,23541211
2022;2;4124103;Santo Antônio da Platina;88,31258198
2023;11;4124103;Santo Antônio da Platina;95,93860578
2023;10;4124103;Santo Antônio da Platina;96,21582637
2020;8;4124103;Santo Antônio da Platina;71,87087847
2024;9;4124103;Santo Antônio da Platina;101,08490360
2021;6;4124103;Santo Antônio da Platina;80,37447839
2019;10;4124103;Santo Antônio da Platina;80,41658513
2023;6;4124103;Santo Antônio da Platina;95,51488652
2023;2;4124103;Santo Antônio da Platina;94,91536884
2020;4;4124103;Santo Antônio da Platina;75,54193029
2022;4;4124103;Santo Antônio da Platina;88,24591962
2019;8;4124103;Santo Antônio da Platina;83,46704933
2020;6;4124103;Santo Antônio da Platina;73,76122453
2024;5;4124103;Santo Antônio da Platina;101,94505170
2020;2;4124103;Santo Antônio da Platina;78,14015176
2021;5;4124103;Santo Antônio da Platina;78,29236125
2024;8;4124103;Santo Antônio da Platina;101,63394390
2024;1;4124103;Santo Antônio da Platina;97,19624062
2020;12;4124103;Santo Antônio da Platina;70,92387192
2022;11;4124103;Santo Antônio da Platina;98,10227862
2022;6;4124103;Santo Antônio da Platina;90,22428661
2023;9;4124103;Santo Antônio da Platina;96,30597940
2020;11;4124103;Santo Antônio da Platina;70,78333441
2023;12;4124103;Santo Antônio da Platina;96,55840790
2022;7;4124103;Santo Antônio da Platina;98,33667651
2020;9;4124103;Santo Antônio da Platina;70,95846576
2023;5;4124103;Santo Antônio da Platina;95,68392346
2024;10;4124103;Santo Antônio da Platina;101,71080950
2024;3;4124103;Santo Antônio da Platina;98,32315355
2023;4;4124103;Santo Antônio da Platina;95,38867227
2022;1;4124103;Santo Antônio da Platina;88,64374341
2019;2;4124103;Santo Antônio da Platina;83,75393632
2021;10;4124103;Santo Antônio da Platina;88,48246350
2023;1;4124103;Santo Antônio da Platina;95,12948230
2020;5;4124103;Santo Antônio da Platina;74,61570239
2020;10;4124103;Santo Antônio da Platina;71,03197769
2024;7;4124103;Santo Antônio da Platina;100,71155620
2023;8;4124103;Santo Antônio da Platina;96,58770763
2020;1;4124103;Santo Antônio da Platina;78,90548562
2021;4;4124103;Santo Antônio da Platina;78,77018875
2019;11;4124103;Santo Antônio da Platina;80,04696367
2019;5;4124103;Santo Antônio da Platina;83,68177047
2021;1;4124103;Santo Antônio da Platina;80,31177704
2022;3;4124103;Santo Antônio da Platina;88,13839967
2024;11;4124103;Santo Antônio da Platina;101,52633200
2021;7;4124103;Santo Antônio da Platina;88,28032600
2021;12;4124103;Santo Antônio da Platina;89,50390297
2019;12;4124103;Santo Antônio da Platina;79,59906942
2023;7;4124103;Santo Antônio da Platina;96,13919629
2022;8;4124103;Santo Antônio da Platina;98,76039577
2019;6;4124103;Santo Antônio da Platina;83,82391533
2024;4;4124103;Santo Antônio da Platina;99,77010976
2021;8;4124103;Santo Antônio da Platina;88,63729222
2022;9;4124103;Santo Antônio da Platina;99,22243008
